Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Malva subovata,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Olea europaea var. Chemlali,PROFITMAX2,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Chemlali,1635
Olea europaea var. Meski,PROFITMAX2,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Meski,1634
Phlomis italica,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,PROFITMAX2,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pinus sylvestris,PROFITMAX2,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608
Pistacia lentiscus,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Platycarya longipes,PROFITMAX2,FALSE,FALSE,Liu et al. (2010),Platycarya,longipes,NA,1617
Populus tremula,PROFITMAX2,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Pseudotsuga macrocarpa,PROFITMAX2,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,macrocarpa,NA,1601
Pseudotsuga menziesii,PROFITMAX2,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600
Pteroceltis tatarinowii,PROFITMAX2,FALSE,FALSE,Liu et al. (2010),Pteroceltis,tatarinowii,NA,1618
Pyracantha fortuneana,PROFITMAX2,FALSE,FALSE,Liu et al. (2010),Pyracantha,fortuneana,NA,1619
Quercus coccifera,PROFITMAX2,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,coccifera,NA,1605
Quercus ilex,PROFITMAX2,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,ilex,NA,1606
Quercus ilex,PROFITMAX2,FALSE,TRUE,Epron and Dreyer (1990),Quercus,ilex,NA,1614
Quercus petraea,PROFITMAX2,FALSE,TRUE,Epron and Dreyer (1990),Quercus,petraea,NA,1612
Quercus pubescens,PROFITMAX2,FALSE,TRUE,Epron and Dreyer (1990),Quercus,pubescens,NA,1613
Quercus suber,PROFITMAX2,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,suber,NA,1607
Rosa cymosa,PROFITMAX2,FALSE,FALSE,Liu et al. (2010),Rosa,cymosa,NA,1620
Allocasuarina luehmannii,SOX,FALSE,TRUE,Posch & Bennett (2009),Allocasuarina,luehmannii,NA,1598
Beta maritima subsp. marcosii,SOX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,SOX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,SOX,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Broussonetia papyrifera,SOX,FALSE,FALSE,Liu et al. (2010),Broussonetia,papyrifera,NA,1615
Cedrus atlantica,SOX,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,1599
Cinnamomum bodinieri,SOX,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616
Cistus albidus,SOX,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,SOX,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Eucalyptus pilularis,SOX,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,pilularis,NA,1602
Eucalyptus populnea,SOX,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,populnea,NA,1603
Ficus tikoua,SOX,FALSE,FALSE,Liu et al. (2011),Ficus,tikoua,NA,1621
Glycine max,SOX,FALSE,TRUE,Liu et al. (2005),Glycine,max,NA,1604
Helianthus annuus,SOX,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622
Hypericum balearicum,SOX,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,SOX,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,SOX,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Lysimachia minoricensis,SOX,FALSE,TRUE,Galmes et al. (2007),Lysimachia,minoricensis,NA,1633
Malva subovata,SOX,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
